d,map/s
50,1.2589568e+09
70,3.0044816e+09
100,3.1907813e+09
140,2.801651e+09
200,2.5909942e+09
280,1.3260712e+09
400,1.1421041e+09
565,1.0472332e+09
800,1.015729e+09
1131,1.0090482e+09
1600,9.9704307e+08
