d,map/s
50,1.3810204e+14
70,2.3035465e+14
100,7.8769085e+08
140,1.5762663e+09
200,7.7697243e+08
280,8.8144282e+08
400,8.016035e+08
565,8.2401502e+08
800,7.992413e+08
1131,7.9639719e+08
1600,7.9842355e+08
