d,map/s
50,1.95551e+09
70,4.6744894e+09
100,5.5446125e+09
140,5.598023e+09
200,5.8442723e+09
280,5.7469629e+09
400,5.9673716e+09
565,5.882491e+09
800,5.8835153e+09
1131,5.6139369e+09
1600,5.4087497e+09
